[2024-11-30 09:44:32,027] A new study created in memory with name: no-name-af2c9794-db39-493d-9df3-a60d52d9e3f4
[2024-11-30 09:46:27,354] SGD_Momentum, Trial 0 finished with value: 0.22031114120036363
[2024-11-30 09:48:40,632] SGD_Momentum, Trial 1 finished with value: 0.09055254843915464
[2024-11-30 09:51:15,276] SGD, Trial 2 finished with value: 2.2973531644055796
[2024-11-30 09:53:46,477] SGD_Momentum, Trial 3 finished with value: 0.08694479074938996
[2024-11-30 09:56:22,055] SGD_Momentum, Trial 4 finished with value: 2.2948651909828186
[2024-11-30 09:58:55,221] SGD_Momentum, Trial 5 finished with value: 0.6776029938345502
[2024-11-30 10:02:15,107] Adam, Trial 6 finished with value: 0.15482747068339842
[2024-11-30 10:05:16,342] SGD_Momentum, Trial 7 finished with value: 0.07474924549787085
[2024-11-30 10:07:58,162] Adam, Trial 8 finished with value: 0.07552856591578934
[2024-11-30 10:10:31,197] SGD_Momentum, Trial 9 finished with value: 0.9157375141978263
[2024-11-30 10:13:30,617] SGD, Trial 10 finished with value: 2.295880477639693
[2024-11-30 10:16:24,537] SGD, Trial 11 finished with value: 2.2910137961182415
[2024-11-30 10:19:09,036] SGD, Trial 12 finished with value: 2.291948988467832
[2024-11-30 10:21:54,717] SGD, Trial 13 finished with value: 2.2892598351345788
[2024-11-30 10:24:54,996] SGD, Trial 14 finished with value: 0.10164910446441655
[2024-11-30 10:28:14,299] SGD, Trial 15 finished with value: 0.08528712449953639
[2024-11-30 10:31:09,721] SGD, Trial 16 finished with value: 1.6756540893749068
[2024-11-30 10:34:02,233] SGD, Trial 17 finished with value: 0.7079865082054381
[2024-11-30 10:37:02,694] SGD, Trial 18 finished with value: 2.2719439222842834
[2024-11-30 10:40:42,635] Adam, Trial 19 finished with value: 2.5518510630176325
[2024-11-30 10:44:09,385] Adam, Trial 20 finished with value: 2.3037239017000624
[2024-11-30 10:47:29,178] Adam, Trial 21 finished with value: 2.306733611283029
[2024-11-30 10:51:01,735] Adam, Trial 22 finished with value: 2.310581617294603
[2024-11-30 10:54:52,489] Adam, Trial 23 finished with value: 2.3069041428292634
[2024-11-30 10:58:49,143] Adam, Trial 24 finished with value: 2.2244498107084043
[2024-11-30 11:02:26,881] Adam, Trial 25 finished with value: 1.0279179249599482
[2024-11-30 11:06:05,688] Adam, Trial 26 finished with value: 0.9760696166639875
[2024-11-30 11:09:31,878] Adam, Trial 27 finished with value: 2.3113621389789945
[2024-11-30 11:13:14,979] Adam, Trial 28 finished with value: 0.12780693651162078
[2024-11-30 11:16:30,758] Adam, Trial 29 finished with value: 0.6059602153529028
[2024-11-30 11:20:16,410] Adam, Trial 30 finished with value: 1.9570112562483284
[2024-11-30 11:23:37,967] Adam, Trial 31 finished with value: 2.321358673132149
[2024-11-30 11:27:01,902] Adam, Trial 32 finished with value: 1.875375982302769
[2024-11-30 11:30:19,217] Adam, Trial 33 finished with value: 0.30279087795816517
[2024-11-30 11:32:46,481] Adam, Trial 34 finished with value: 2.309639149904251
[2024-11-30 11:35:32,084] Adam, Trial 35 finished with value: 1.6503017465020442
[2024-11-30 11:38:04,084] Adam, Trial 36 finished with value: 0.0874083856131584
[2024-11-30 11:41:10,063] Adam, Trial 37 finished with value: 1.9705374089016277
[2024-11-30 11:43:56,076] Adam, Trial 38 finished with value: 0.4170738253909757
[2024-11-30 11:46:43,765] SGD_Momentum, Trial 39 finished with value: 1.1987183371167274
[2024-11-30 11:49:33,666] Adam, Trial 40 finished with value: 0.10884523500278646
[2024-11-30 11:52:16,780] Adam, Trial 41 finished with value: 2.116494870185852
[2024-11-30 11:54:59,137] Adam, Trial 42 finished with value: 1.8840191155672072
[2024-11-30 11:57:49,410] Adam, Trial 43 finished with value: 1.7956673681735993
[2024-11-30 12:00:31,215] Adam, Trial 44 finished with value: 2.307624560594559
[2024-11-30 12:02:51,208] SGD_Momentum, Trial 45 finished with value: 0.0586016126375398
[2024-11-30 12:05:55,404] Adam, Trial 46 finished with value: 2.3038725215158644
[2024-11-30 12:08:27,380] Adam, Trial 47 finished with value: 0.2562949486076832
